Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
Andrew Wiggins,Cleveland Cavaliers,Kansas,2014,1,1,1
Jabari Parker,Milwaukee Bucks,Duke,2014,1,2,2
Joel Embiid,Philadelphia 76ers,Kansas,2014,1,3,3
Aaron Gordon,Orlando Magic,Arizona,2014,1,4,4
Dante Exum,Utah Jazz,Australian Institute of Sport (Australia),2014,1,5,5
Marcus Smart,Boston Celtics,Oklahoma State,2014,1,6,6
Julius Randle,Los Angeles Lakers,Kentucky,2014,1,7,7
Nik Stauskas,Sacramento Kings,Michigan,2014,1,8,8
Noah Vonleh,Charlotte Hornets,Indiana,2014,1,9,9
Elfrid Payton,Philadelphia 76ers,Louisiana-Lafayette,2014,1,10,10
Doug McDermott,Denver Nuggets,Creighton,2014,1,11,11
Dario Saric,Orlando Magic,KK Cibona (Croatia),2014,1,12,12
Zach LaVine,Minnesota Timberwolves,California-Los Angeles,2014,1,13,13
T.J. Warren,Phoenix Suns,North Carolina State,2014,1,14,14
Adreian Payne,Atlanta Hawks,Michigan State,2014,1,15,15
Jusuf Nurkic,Chicago Bulls,KK Cedevita (Croatia),2014,1,16,16
James Young,Boston Celtics,Kentucky,2014,1,17,17
Tyler Ennis,Phoenix Suns,Syracuse,2014,1,18,18
Gary Harris,Chicago Bulls,Michigan State,2014,1,19,19
Bruno Caboclo,Toronto Raptors,Esporte Clube Pinheiros (Brazil),2014,1,20,20
Mitch McGary,Oklahoma City Thunder,Michigan,2014,1,21,21
Jordan Adams,Memphis Grizzlies,California-Los Angeles,2014,1,22,22
Rodney Hood,Utah Jazz,Duke,2014,1,23,23
Shabazz Napier,Charlotte Hornets,Connecticut,2014,1,24,24
Clint Capela,Houston Rockets,Elan Chalon (France),2014,1,25,25
PJ Hairston,Miami Heat,Texas Legends (D-League),2014,1,26,26
Bogdan Bogdanovic,Phoenix Suns,KK Partizan (Serbia),2014,1,27,27
CJ Wilcox,Los Angeles Clippers,Washington,2014,1,28,28
Josh Huestis,Oklahoma City Thunder,Stanford,2014,1,29,29
Kyle Anderson,San Antonio Spurs,California-Los Angeles,2014,1,30,30
Damien Inglis,Milwaukee Bucks,Chorale Roanne Basket (France),2014,2,1,31
KJ McDaniels,Philadelphia 76ers,Clemson,2014,2,2,32
Joe Harris,Cleveland Cavaliers,Virginia,2014,2,3,33
Cleanthony Early,New York Knicks,Wichita State,2014,2,4,34
Jarnell Stokes,Utah Jazz,Tennessee,2014,2,5,35
Johnny O'Bryant III,Milwaukee Bucks,Louisiana State,2014,2,6,36
DeAndre Daniels,Toronto Raptors,Connecticut,2014,2,7,37
Spencer Dinwiddie,Detroit Pistons,Colorado,2014,2,8,38
Jerami Grant,Philadelphia 76ers,Syracuse,2014,2,9,39
Glenn Robinson III,Minnesota Timberwolves,Michigan,2014,2,10,40
Nikola Jokic,Denver Nuggets,KK Mega Leks (Serbia),2014,2,11,41
Nick Johnson,Houston Rockets,Arizona,2014,2,12,42
Edy Tavares,Atlanta Hawks,CB Gran Canaria (Spain),2014,2,13,43
Markel Brown,Minnesota Timberwolves,Oklahoma State,2014,2,14,44
Dwight Powell,Charlotte Hornets,Stanford,2014,2,15,45
Jordan Clarkson,Washington Wizards,Missouri,2014,2,16,46
Russ Smith,Philadelphia 76ers,Louisville,2014,2,17,47
Lamar Patterson,Milwaukee Bucks,Pittsburgh,2014,2,18,48
Cameron Bairstow,Chicago Bulls,New Mexico,2014,2,19,49
Alec Brown,Phoenix Suns,Wisconsin-Green Bay,2014,2,20,50
Thanasis Antetokounmpo,New York Knicks,Delaware 87ers (D-League),2014,2,21,51
Vasilije Micic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,22,52
Alessandro Gentile,Minnesota Timberwolves,Olimpia Milano (Italy),2014,2,23,53
Nemanja Dangubic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,24,54
Semaj Christon,Miami Heat,Xavier,2014,2,25,55
Devyn Marble,Denver Nuggets,Iowa,2014,2,26,56
Louis Labeyrie,Indiana Pacers,Paris-Levallois Basket (France),2014,2,27,57
Jordan McRae,San Antonio Spurs,Tennessee,2014,2,28,58
Xavier Thames,Toronto Raptors,San Diego State,2014,2,29,59
Cory Jefferson,San Antonio Spurs,Baylor,2014,2,30,60
